613, 35089406
930, 33352007
601, 11884868
616, 9344713
611, 8750971
513, 6931192
902, 5718895
617, 4787847
521, 4602596
502, 2640192
527, 2453089
901, 2386853
522, 1554675
508, 1542172
612, 1488631
545, 1034336
507, 923493
524, 917989
851, 841349
701, 796735
516, 788241
505, 705906
618, 688124
531, 513134
852, 470808
717, 416672
702, 361513
694, 339877
625, 320403
528, 285505
504, 277793
537, 255364
556, 222253
933, 182521
514, 180045
546, 171124
704, 151695
525, 148652
512, 105769
898, 97310
622, 94995
621, 91808
998, 88951
501, 84139
857, 83671
569, 82556
903, 78256
536, 75621
703, 74016
698, 64942
602, 63868
543, 59176
705, 58225
557, 57512
712, 55142
551, 50842
555, 42456
597, 41281
541, 39083
511, 38234
547, 38028
710, 37968
720, 37517
523, 34979
538, 33493
623, 30841
554, 30224
715, 29927
936, 29819
549, 28751
542, 28091
598, 27415
631, 25757
572, 25579
697, 25438
559, 24709
506, 23854
632, 21085
534, 20302
568, 19421
801, 19280
519, 18647
806, 18496
634, 17574
904, 17130
706, 16681
591, 15218
714, 14572
553, 13606
731, 13368
539, 12404
907, 10534
909, 9819
908, 9678
526, 9426
548, 8219
725, 7931
709, 7691
897, 7567
797, 7026
509, 6395
858, 6194
515, 5779
807, 5310
905, 5248
575, 5231
707, 5195
713, 5146
592, 4223
574, 4086
577, 4031
718, 3700
803, 3648
573, 3497
935, 3058
808, 2941
722, 2708
735, 2675
693, 2524
594, 1850
544, 1782
721, 1687
708, 1653
802, 1498
566, 1143
798, 998
906, 784
848, 523
567, 374
830, 335
911, 300
847, 266
595, 213
849, 189
576, 131
719, 62
552, 26
730, 24
711, 11
810, 9
660, 8
750, 4
